identifier,scan_file,scan_width_px,scan_height_px,sheet,has_layers,group,sequence,title_he,title_translit,title_en,title_reading_confidence,reading_notes,creator,creator_en,creator_wikidata,date_created,coverage_temporal,coverage_spatial,language,type,type_aat,medium,support,source_format,description_en,description_he,relation,rights,license
JQ1967-0008,Jewish Quarter Jerusalem0008.JPG,1200,1889,0008,1,survey,1,מערכת הדרכים 1967,Ma'arekhet ha-derakhim 1967,"Road system, 1967",high,,אהוד נצר (מנצ'ל),"Ehud Netzer (born Menczel), 1934–2010",Q573909,1967,1967,"Jewish Quarter, Old City of Jerusalem (TGN 7002476 Jerusalem)",he,Image; hand-drawn plan,plans (drawings) [AAT 300011138],felt-tip marker and fine-liner over a traced base plan,tracing paper (presumed),"35 mm colour slide, scanned to JPEG","Roads in and around the Quarter by user: vehicular roads (dark red), main pedestrian routes (orange), secondary pedestrian routes (yellow). Arrows mark the entries from Jaffa Gate and from the Dung Gate road.",,hasVersion JQ1967-0020; hasVersion JQ1967-0024,© Estate of Ehud Netzer; digitised and curated by Yael Netzer,TBD
JQ1967-0013,Jewish Quarter Jerusalem0013.JPG,1200,1879,0013,1,survey,2,גובה מבנים ברובע (1967),Govah mivnim ba-rova (1967),"Building heights in the Quarter, 1967",high,,אהוד נצר (מנצ'ל),"Ehud Netzer (born Menczel), 1934–2010",Q573909,1967,1967,"Jewish Quarter, Old City of Jerusalem (TGN 7002476 Jerusalem)",he,Image; hand-drawn plan,plans (drawings) [AAT 300011138],felt-tip marker and fine-liner over a traced base plan,tracing paper (presumed),"35 mm colour slide, scanned to JPEG","Number of storeys per parcel in 1967: 3–4 (dark red), 2–3 (orange), 1–2 (yellow, applied as a pale wash).",,,© Estate of Ehud Netzer; digitised and curated by Yael Netzer,TBD
JQ1967-0014,Jewish Quarter Jerusalem0014.JPG,1200,1834,0014,1,survey,3,שטחים פנויים (1967),Shtahim penuyim (1967),"Vacant areas, 1967",high,,אהוד נצר (מנצ'ל),"Ehud Netzer (born Menczel), 1934–2010",Q573909,1967,1967,"Jewish Quarter, Old City of Jerusalem (TGN 7002476 Jerusalem)",he,Image; hand-drawn plan,plans (drawings) [AAT 300011138],felt-tip marker and fine-liner over a traced base plan,tracing paper (presumed),"35 mm colour slide, scanned to JPEG","Condition of parcels in 1967: destroyed (orange-red), partly destroyed (yellow), empty (dark teal hatching, including the outline of the area cleared in front of the Western Wall).",,,© Estate of Ehud Netzer; digitised and curated by Yael Netzer,TBD
JQ1967-0015,Jewish Quarter Jerusalem0015.JPG,1200,1843,0015,1,survey,4,בעלויות לפני ההפקעה,Ba'aluyot lifnei ha-hafka'a,Ownership before the expropriation,high,,אהוד נצר (מנצ'ל),"Ehud Netzer (born Menczel), 1934–2010",Q573909,1967,1967,"Jewish Quarter, Old City of Jerusalem (TGN 7002476 Jerusalem)",he,Image; hand-drawn plan,plans (drawings) [AAT 300011138],felt-tip marker and fine-liner over a traced base plan,tracing paper (presumed),"35 mm colour slide, scanned to JPEG","Ownership of parcels before the 1968 expropriation: Jewish property (navy), Muslim waqf (red), family Muslim waqf (orange), private Muslim property (yellow wash), church property (purple outline), municipal or government property (green hatching).",,,© Estate of Ehud Netzer; digitised and curated by Yael Netzer,TBD
JQ1967-0018,Jewish Quarter Jerusalem0018.JPG,1200,1923,0018,1,survey,5,חנויות ובתי מלאכה,Hanuyot u-vatei melakha,Shops and workshops,medium,Second word of the title read as בתי מלאכה; verify against the original.,אהוד נצר (מנצ'ל),"Ehud Netzer (born Menczel), 1934–2010",Q573909,1967,1967,"Jewish Quarter, Old City of Jerusalem (TGN 7002476 Jerusalem)",he,Image; hand-drawn plan,plans (drawings) [AAT 300011138],felt-tip marker and fine-liner over a traced base plan,tracing paper (presumed),"35 mm colour slide, scanned to JPEG","Commercial frontages: shops and workshops marked in red along the streets, densest along David Street / Street of the Chain and the market streets to the north.",,,© Estate of Ehud Netzer; digitised and curated by Yael Netzer,TBD
JQ1967-0016,Jewish Quarter Jerusalem0016.JPG,1200,1906,0016,1,past,6,תחום הרובע (בעבר),Tehum ha-rova (be-avar),Extent of the Quarter in the past,high,The two dashed boundaries are labelled 1929 (orange) and 1936 (yellow) in the margin; dashed yellow circles east of the Quarter probably mark Jewish holdings outside it.,אהוד נצר (מנצ'ל),"Ehud Netzer (born Menczel), 1934–2010",Q573909,1967,1929/1936,"Jewish Quarter, Old City of Jerusalem (TGN 7002476 Jerusalem)",he,Image; hand-drawn plan,plans (drawings) [AAT 300011138],felt-tip marker and fine-liner over a traced base plan,tracing paper (presumed),"35 mm colour slide, scanned to JPEG",Former extent of the Jewish Quarter: dashed boundaries for 1929 (orange) and 1936 (yellow); major Jewish institutions as solid dark-brown blocks.,,,© Estate of Ehud Netzer; digitised and curated by Yael Netzer,TBD
JQ1967-0019,Jewish Quarter Jerusalem0019.JPG,1200,1920,0019,1,past,7,מוסדות יהודיים ברובע (בעבר),Mosdot yehudiyim ba-rova (be-avar),"Jewish institutions in the Quarter, past",high,Dots inside parcels are not explained in the legend; probably smaller synagogues. The orange loop on the east marks the prayer area at the Western Wall.,אהוד נצר (מנצ'ל),"Ehud Netzer (born Menczel), 1934–2010",Q573909,1967,before 1948,"Jewish Quarter, Old City of Jerusalem (TGN 7002476 Jerusalem)",he,Image; hand-drawn plan,plans (drawings) [AAT 300011138],felt-tip marker and fine-liner over a traced base plan,tracing paper (presumed),"35 mm colour slide, scanned to JPEG","Former Jewish institutions: synagogues (dark brown), batei midrash (orange), hospitals (yellow wash); dots for smaller institutions; the Western Wall prayer area outlined in orange.",,,© Estate of Ehud Netzer; digitised and curated by Yael Netzer,TBD
JQ1967-0021,Jewish Quarter Jerusalem0021.JPG,1307,1800,0021,1,plan,8,סכמת התכנון,Skhemat ha-tikhnun,Planning scheme,medium,Title read as סכמת התכנון.,אהוד נצר (מנצ'ל),"Ehud Netzer (born Menczel), 1934–2010",Q573909,1967,1967,"Jewish Quarter, Old City of Jerusalem (TGN 7002476 Jerusalem)",he,Image; hand-drawn plan,plans (drawings) [AAT 300011138],felt-tip marker and fine-liner over a traced base plan,tracing paper (presumed),"35 mm colour slide, scanned to JPEG","The planning concept: a vehicular ring outside the walls (red, with arrows), pedestrian spines through the Quarter (purple), open squares (blue) and the descent to the Western Wall (dashed navy arrow).",,,© Estate of Ehud Netzer; digitised and curated by Yael Netzer,TBD
JQ1967-0017,Jewish Quarter Jerusalem0017.JPG,1200,1881,0017,1,plan,9,תכנית שימור,Tokhnit shimur,Preservation plan,high,,אהוד נצר (מנצ'ל),"Ehud Netzer (born Menczel), 1934–2010",Q573909,1967,1967,"Jewish Quarter, Old City of Jerusalem (TGN 7002476 Jerusalem)",he,Image; hand-drawn plan,plans (drawings) [AAT 300011138],felt-tip marker and fine-liner over a traced base plan,tracing paper (presumed),"35 mm colour slide, scanned to JPEG","Preservation status per building: to preserve (blue outline), to rehabilitate (brown outline), special value (red fill), special façade (navy line).",,,© Estate of Ehud Netzer; digitised and curated by Yael Netzer,TBD
JQ1967-0025,Jewish Quarter Jerusalem0025.JPG,1200,1813,0025,1,plan,10,תכנון דרכים חדשות,Tikhnun derakhim hadashot,Land use and new roads,medium,"Title partly obscured; land-use legend: plan boundary, residential, institutions, hotels and commerce, public institutions, shop frontage, Western Wall plaza. Red fills read as buildings to be removed for the new paths.",אהוד נצר (מנצ'ל),"Ehud Netzer (born Menczel), 1934–2010",Q573909,1967,1967,"Jewish Quarter, Old City of Jerusalem (TGN 7002476 Jerusalem)",he,Image; hand-drawn plan,plans (drawings) [AAT 300011138],felt-tip marker and fine-liner over a traced base plan,tracing paper (presumed),"35 mm colour slide, scanned to JPEG","Proposed land use on the redrawn block plan, with new paths (yellow) and buildings to be removed for them (red). First state of the drawing reworked in 0028, 0027, 0031 and 0032.",,isVersionOf JQ1967-0028; isVersionOf JQ1967-0027; isVersionOf JQ1967-0031; isVersionOf JQ1967-0032,© Estate of Ehud Netzer; digitised and curated by Yael Netzer,TBD
JQ1967-0028,Jewish Quarter Jerusalem0028.JPG,1200,1839,0028,1,plan,11,תכנון דרכים,Tikhnun derakhim,Roads plan,high,Yellow paths and pale tan road bands are not separable in this scan and are kept as one layer.,אהוד נצר (מנצ'ל),"Ehud Netzer (born Menczel), 1934–2010",Q573909,1967,1967,"Jewish Quarter, Old City of Jerusalem (TGN 7002476 Jerusalem)",he,Image; hand-drawn plan,plans (drawings) [AAT 300011138],felt-tip marker and fine-liner over a traced base plan,tracing paper (presumed),"35 mm colour slide, scanned to JPEG",Roads and paths on the land-use plan (yellow and tan) with proposed gardens (green).,,isVersionOf JQ1967-0025,© Estate of Ehud Netzer; digitised and curated by Yael Netzer,TBD
JQ1967-0027,Jewish Quarter Jerusalem0027.JPG,1200,1832,0027,1,plan,12,גבהים מתוכננים,Gvahim metukhnanim,Planned heights,high,,אהוד נצר (מנצ'ל),"Ehud Netzer (born Menczel), 1934–2010",Q573909,1967,1967,"Jewish Quarter, Old City of Jerusalem (TGN 7002476 Jerusalem)",he,Image; hand-drawn plan,plans (drawings) [AAT 300011138],felt-tip marker and fine-liner over a traced base plan,tracing paper (presumed),"35 mm colour slide, scanned to JPEG","Planned building heights on the land-use plan: 4 storeys (navy), 3 storeys (red), 1–2 storeys (yellow).",,isVersionOf JQ1967-0025,© Estate of Ehud Netzer; digitised and curated by Yael Netzer,TBD
JQ1967-0031,Jewish Quarter Jerusalem0031.JPG,1200,2063,0031,1,plan,13,"אתר פרויקט ""החורבה""","Atar proyekt ""ha-Hurva""","The ""Hurva"" project site",medium,Title and legend cut by the slide mount; reading of the second line uncertain.,אהוד נצר (מנצ'ל),"Ehud Netzer (born Menczel), 1934–2010",Q573909,1967,1967,"Jewish Quarter, Old City of Jerusalem (TGN 7002476 Jerusalem)",he,Image; hand-drawn plan,plans (drawings) [AAT 300011138],felt-tip marker and fine-liner over a traced base plan,tracing paper (presumed),"35 mm colour slide, scanned to JPEG","Heavy navy outlines around the compounds of the Hurva square and the blocks south of it, on the land-use plan: the first project site.",,isVersionOf JQ1967-0025,© Estate of Ehud Netzer; digitised and curated by Yael Netzer,TBD
JQ1967-0032,Jewish Quarter Jerusalem0032.JPG,1200,1918,0032,1,plan,14,תכנון: שלבי ביצוע,Tikhnun: shlavei bitsua,Phasing,low,"Title and legend cut by the slide mount; legend entries read as חניון (parking), רכב (vehicle), מסלול כיום (current route).",אהוד נצר (מנצ'ל),"Ehud Netzer (born Menczel), 1934–2010",Q573909,1967,1967,"Jewish Quarter, Old City of Jerusalem (TGN 7002476 Jerusalem)",he,Image; hand-drawn plan,plans (drawings) [AAT 300011138],felt-tip marker and fine-liner over a traced base plan,tracing paper (presumed),"35 mm colour slide, scanned to JPEG","Phasing / access: parking on the Armenian garden (orange hatching), vehicle routes inside the Quarter (yellow), the current route around the walls (dashed).",,isVersionOf JQ1967-0025,© Estate of Ehud Netzer; digitised and curated by Yael Netzer,TBD
